State,Year,Quarter,District,Registered_User,App_Opens,Latitude,Longitude,Region
Andhra Pradesh,2022,4,Guntur,2774365,144773169,13.0108668,79.2249071,Southern Region
Andhra Pradesh,2022,4,Krishna,2813645,156902257,17.0347692,81.7819183,Southern Region
Andhra Pradesh,2022,4,Spsr Nellore,1663684,103101986,14.71875825,79.65961022770595,Southern Region
Andhra Pradesh,2022,4,Vizianagaram,1044490,64406405,18.110744,83.386585,Southern Region
Andhra Pradesh,2022,4,Ysr,1556901,93975668,17.0771387,81.6653938,Southern Region
Andhra Pradesh,2022,4,West Godavari,1893310,129116752,16.9550574,81.4530037,Southern Region
Andhra Pradesh,2022,4,Chittoor,2636036,189655966,13.0108668,79.2249071,Southern Region
Arunachal Pradesh,2022,1,Lower Subansiri,10854,1566925,27.8,93.6,North-Eastern Region
Arunachal Pradesh,2022,1,Tirap,9972,1634844,27.5013437,96.5242944,North-Eastern Region
Arunachal Pradesh,2022,1,Papum Pare,111271,3209286,27.5013437,96.5242944,North-Eastern Region
Arunachal Pradesh,2022,1,Anjaw,3560,640611,28.1114301,96.82699963398372,North-Eastern Region
Arunachal Pradesh,2022,1,Lower Siang,4882,1085994,28.477492,94.81655728795752,North-Eastern Region
Arunachal Pradesh,2022,1,Dibang Valley,656,267633,28.8291044,95.95540957636018,North-Eastern Region
Arunachal Pradesh,2022,1,West Kameng,27860,4098935,27.33862695,92.43336623881612,North-Eastern Region
Arunachal Pradesh,2022,1,Shi Yomi,540,230973,28.1114301,96.82699963398372,North-Eastern Region
Arunachal Pradesh,2022,1,East Kameng,5355,703590,27.55778095,92.96738426595108,North-Eastern Region
Arunachal Pradesh,2022,1,Lohit,19214,3212352,28.0060625,96.2431946,North-Eastern Region
Arunachal Pradesh,2022,1,Lepa Rada,4049,1182371,28.0060625,96.2431946,North-Eastern Region
Arunachal Pradesh,2022,1,Lower Dibang Valley,11401,1918566,17.0347692,81.7819183,North-Eastern Region
Arunachal Pradesh,2022,1,Longding,5700,1728795,27.8,93.6,North-Eastern Region
Arunachal Pradesh,2022,1,West Siang,14420,1420049,28.4,94.55,North-Eastern Region
Arunachal Pradesh,2022,1,Kamle,1144,758412,28.4,94.55,North-Eastern Region
Arunachal Pradesh,2022,1,Upper Siang,5146,2047229,28.6416983,95.0252232,North-Eastern Region
Arunachal Pradesh,2022,1,Kurung Kumey,1744,845626,27.98636765,93.15783468644102,North-Eastern Region
Arunachal Pradesh,2022,1,Siang,3942,1227784,28.477492,94.81655728795752,North-Eastern Region
Arunachal Pradesh,2022,1,Kra Daadi,1701,720274,27.9366293,92.6658618,North-Eastern Region
Arunachal Pradesh,2022,1,Changlang,26904,4323291,27.272007,96.06552596101916,North-Eastern Region
Arunachal Pradesh,2022,1,Pakke Kessang,887,770322,27.1061731,92.9311395,North-Eastern Region
Arunachal Pradesh,2022,1,East Siang,25763,3444101,28.3,95.15,North-Eastern Region
Arunachal Pradesh,2022,1,Upper Subansiri,8731,921019,28.3,94.0,North-Eastern Region
Arunachal Pradesh,2022,1,Tawang,15589,1922991,27.6741942,91.93620587613825,North-Eastern Region
Arunachal Pradesh,2022,1,Namsai,14054,1536586,27.6741942,91.93620587613825,North-Eastern Region
Arunachal Pradesh,2022,2,Lower Subansiri,11479,1637036,27.8,93.6,North-Eastern Region
Arunachal Pradesh,2022,2,Tirap,10538,2173316,27.5013437,96.5242944,North-Eastern Region
Arunachal Pradesh,2022,2,Papum Pare,117568,3870115,27.5013437,96.5242944,North-Eastern Region
Arunachal Pradesh,2022,2,Anjaw,3769,942878,28.1114301,96.82699963398372,North-Eastern Region
Arunachal Pradesh,2022,2,Lower Siang,5161,1296404,28.477492,94.81655728795752,North-Eastern Region
Arunachal Pradesh,2022,2,Dibang Valley,701,212502,28.8291044,95.95540957636018,North-Eastern Region
Arunachal Pradesh,2022,2,West Kameng,29424,5493311,27.33862695,92.43336623881612,North-Eastern Region
Arunachal Pradesh,2022,2,Shi Yomi,575,197796,28.1114301,96.82699963398372,North-Eastern Region
Arunachal Pradesh,2022,2,East Kameng,5680,791335,27.55778095,92.96738426595108,North-Eastern Region
Arunachal Pradesh,2022,2,Lohit,20325,3608724,28.0060625,96.2431946,North-Eastern Region
Arunachal Pradesh,2022,2,Lepa Rada,4265,1110684,28.0060625,96.2431946,North-Eastern Region
Arunachal Pradesh,2022,2,Lower Dibang Valley,12040,2045531,17.0347692,81.7819183,North-Eastern Region
Arunachal Pradesh,2022,2,Longding,6034,1821245,27.8,93.6,North-Eastern Region
Arunachal Pradesh,2022,2,West Siang,15231,1555876,28.4,94.55,North-Eastern Region
Arunachal Pradesh,2022,2,Kamle,1210,1066185,28.4,94.55,North-Eastern Region
Arunachal Pradesh,2022,2,Upper Siang,5440,2396815,28.6416983,95.0252232,North-Eastern Region
Arunachal Pradesh,2022,2,Kurung Kumey,1854,734369,27.98636765,93.15783468644102,North-Eastern Region
